

----- New session! -----

               | Pressure         | Humidity        | TempOutside      | TempTop      | TempCamera      | DewPoint      
Time: 08:33:13 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:33:14 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:33:15 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:33:16 | Pressure: 1011.2 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:33:17 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:33:18 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:33:19 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:33:20 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:33:21 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:33:22 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:33:23 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:33:24 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:33:25 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:33:26 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:33:27 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:33:28 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:33:29 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:33:30 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:33:31 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:33:32 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:33:33 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:33:34 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:33:35 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:33:36 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:33:37 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:33:38 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:33:39 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:33:40 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:33:41 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:33:42 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:33:43 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:33:44 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:33:45 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:33:46 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:33:47 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:33:48 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:33:49 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:33:50 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:33:51 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:33:52 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:33:53 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:33:54 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:33:55 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:33:56 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:33:57 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:33:58 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:33:59 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:00 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:01 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:02 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:03 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:04 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:05 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:06 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
